"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","CPI","TOT","AGRWTH","M","2000-06",1.839189,
"CHE","CPI","TOT","AGRWTH","M","2000-07",1.888825,
"CHE","CPI","TOT","AGRWTH","M","2000-08",1.124738,
"CHE","CPI","TOT","AGRWTH","M","2000-09",1.439942,
"CHE","CPI","TOT","AGRWTH","M","2000-10",1.332193,
"CHE","CPI","TOT","AGRWTH","M","2000-11",1.912515,
"CHE","CPI","TOT","AGRWTH","M","2000-12",1.49337,
"CHE","CPI","TOT","AGRWTH","M","2001-01",1.295473,
"CHE","CPI","TOT","AGRWTH","M","2001-02",0.7797762,
"CHE","CPI","TOT","AGRWTH","M","2001-03",0.9758602,
"CHE","CPI","TOT","AGRWTH","M","2001-04",1.166568,
"CHE","CPI","TOT","AGRWTH","M","2001-05",1.76567,
"CHE","CPI","TOT","AGRWTH","M","2001-06",1.580401,
"CHE","CPI","TOT","AGRWTH","M","2001-07",1.351576,
"CHE","CPI","TOT","AGRWTH","M","2001-08",1.05079,
"CHE","CPI","TOT","AGRWTH","M","2001-09",0.6750171,
"CHE","CPI","TOT","AGRWTH","M","2001-10",0.6302712,
"CHE","CPI","TOT","AGRWTH","M","2001-11",0.2869668,
"CHE","CPI","TOT","AGRWTH","M","2001-12",0.3252247,
"CHE","CPI","TOT","AGRWTH","M","2002-01",0.5214581,
"CHE","CPI","TOT","AGRWTH","M","2002-02",0.6544672,
"CHE","CPI","TOT","AGRWTH","M","2002-03",0.5094942,
"CHE","CPI","TOT","AGRWTH","M","2002-04",1.097193,
"CHE","CPI","TOT","AGRWTH","M","2002-05",0.6479945,
"CHE","CPI","TOT","AGRWTH","M","2002-06",0.3259175,
"CHE","CPI","TOT","AGRWTH","M","2002-07",-0.05158317,
"CHE","CPI","TOT","AGRWTH","M","2002-08",0.472578,
"CHE","CPI","TOT","AGRWTH","M","2002-09",0.4968174,
"CHE","CPI","TOT","AGRWTH","M","2002-10",1.237231,
"CHE","CPI","TOT","AGRWTH","M","2002-11",0.9154538,
"CHE","CPI","TOT","AGRWTH","M","2002-12",0.8908315,
"CHE","CPI","TOT","AGRWTH","M","2003-01",0.8466602,
"CHE","CPI","TOT","AGRWTH","M","2003-02",0.9490609,
"CHE","CPI","TOT","AGRWTH","M","2003-03",1.339036,
"CHE","CPI","TOT","AGRWTH","M","2003-04",0.6718884,
"CHE","CPI","TOT","AGRWTH","M","2003-05",0.4141561,
"CHE","CPI","TOT","AGRWTH","M","2003-06",0.5479887,
"CHE","CPI","TOT","AGRWTH","M","2003-07",0.2704226,
"CHE","CPI","TOT","AGRWTH","M","2003-08",0.5372164,
"CHE","CPI","TOT","AGRWTH","M","2003-09",0.5304877,
"CHE","CPI","TOT","AGRWTH","M","2003-10",0.4536838,
"CHE","CPI","TOT","AGRWTH","M","2003-11",0.5125993,
"CHE","CPI","TOT","AGRWTH","M","2003-12",0.5937673,
"CHE","CPI","TOT","AGRWTH","M","2004-01",0.1725179,
"CHE","CPI","TOT","AGRWTH","M","2004-02",0.09069299,
"CHE","CPI","TOT","AGRWTH","M","2004-03",-0.09702823,
"CHE","CPI","TOT","AGRWTH","M","2004-04",0.5458111,
"CHE","CPI","TOT","AGRWTH","M","2004-05",0.9399879,
"CHE","CPI","TOT","AGRWTH","M","2004-06",1.112081,
"CHE","CPI","TOT","AGRWTH","M","2004-07",0.862449,
"CHE","CPI","TOT","AGRWTH","M","2004-08",1.001135,
"CHE","CPI","TOT","AGRWTH","M","2004-09",0.8607773,
"CHE","CPI","TOT","AGRWTH","M","2004-10",1.292596,
"CHE","CPI","TOT","AGRWTH","M","2004-11",1.517499,
"CHE","CPI","TOT","AGRWTH","M","2004-12",1.331858,
"CHE","CPI","TOT","AGRWTH","M","2005-01",1.20481,
"CHE","CPI","TOT","AGRWTH","M","2005-02",1.410295,
"CHE","CPI","TOT","AGRWTH","M","2005-03",1.441121,
"CHE","CPI","TOT","AGRWTH","M","2005-04",1.41608,
"CHE","CPI","TOT","AGRWTH","M","2005-05",1.081741,
"CHE","CPI","TOT","AGRWTH","M","2005-06",0.680874,
"CHE","CPI","TOT","AGRWTH","M","2005-07",1.189073,
"CHE","CPI","TOT","AGRWTH","M","2005-08",0.960686,
"CHE","CPI","TOT","AGRWTH","M","2005-09",1.396618,
"CHE","CPI","TOT","AGRWTH","M","2005-10",1.33328,
"CHE","CPI","TOT","AGRWTH","M","2005-11",0.9515178,
"CHE","CPI","TOT","AGRWTH","M","2005-12",1.006369,
"CHE","CPI","TOT","AGRWTH","M","2006-01",1.29091,
"CHE","CPI","TOT","AGRWTH","M","2006-02",1.383642,
"CHE","CPI","TOT","AGRWTH","M","2006-03",1.028795,
"CHE","CPI","TOT","AGRWTH","M","2006-04",1.059165,
"CHE","CPI","TOT","AGRWTH","M","2006-05",1.361907,
"CHE","CPI","TOT","AGRWTH","M","2006-06",1.5621,
"CHE","CPI","TOT","AGRWTH","M","2006-07",1.424671,
"CHE","CPI","TOT","AGRWTH","M","2006-08",1.452135,
"CHE","CPI","TOT","AGRWTH","M","2006-09",0.7939003,
"CHE","CPI","TOT","AGRWTH","M","2006-10",0.2586048,
"CHE","CPI","TOT","AGRWTH","M","2006-11",0.4977289,
"CHE","CPI","TOT","AGRWTH","M","2006-12",0.6209757,
"CHE","CPI","TOT","AGRWTH","M","2007-01",0.1020304,
"CHE","CPI","TOT","AGRWTH","M","2007-02",-0.01143766,
"CHE","CPI","TOT","AGRWTH","M","2007-03",0.1728719,
"CHE","CPI","TOT","AGRWTH","M","2007-04",0.4539349,
"CHE","CPI","TOT","AGRWTH","M","2007-05",0.4879317,
"CHE","CPI","TOT","AGRWTH","M","2007-06",0.6308542,
"CHE","CPI","TOT","AGRWTH","M","2007-07",0.7203642,
"CHE","CPI","TOT","AGRWTH","M","2007-08",0.4358537,
"CHE","CPI","TOT","AGRWTH","M","2007-09",0.7471792,
"CHE","CPI","TOT","AGRWTH","M","2007-10",1.264393,
"CHE","CPI","TOT","AGRWTH","M","2007-11",1.770063,
"CHE","CPI","TOT","AGRWTH","M","2007-12",2.004065,
"CHE","CPI","TOT","AGRWTH","M","2008-01",2.426277,
"CHE","CPI","TOT","AGRWTH","M","2008-02",2.364599,
"CHE","CPI","TOT","AGRWTH","M","2008-03",2.630854,
"CHE","CPI","TOT","AGRWTH","M","2008-04",2.28394,
