year_month;Value;INDICATOR
2000-04;2.547827;INTEREST_RATE_SARON
2000-05;3.047974;INTEREST_RATE_SARON
2000-06;3.054887;INTEREST_RATE_SARON
2000-07;2.778948;INTEREST_RATE_SARON
2000-08;3.125945;INTEREST_RATE_SARON
2000-09;2.991287;INTEREST_RATE_SARON
2000-10;2.967391;INTEREST_RATE_SARON
2000-11;2.955805;INTEREST_RATE_SARON
2000-12;3.490226;INTEREST_RATE_SARON
2001-01;3.308556;INTEREST_RATE_SARON
2001-02;3.282052;INTEREST_RATE_SARON
2001-03;3.250111;INTEREST_RATE_SARON
2001-04;3.085493;INTEREST_RATE_SARON
2001-05;3.275508;INTEREST_RATE_SARON
2001-06;3.283814;INTEREST_RATE_SARON
2001-07;3.226346;INTEREST_RATE_SARON
2001-08;3.123531;INTEREST_RATE_SARON
2001-09;2.027698;INTEREST_RATE_SARON
2001-10;2.118133;INTEREST_RATE_SARON
2001-11;1.960142;INTEREST_RATE_SARON
2001-12;1.469348;INTEREST_RATE_SARON
2002-01;1.203506;INTEREST_RATE_SARON
2002-02;1.571053;INTEREST_RATE_SARON
2002-03;1.202675;INTEREST_RATE_SARON
2002-04;1.418686;INTEREST_RATE_SARON
2002-05;0.974746;INTEREST_RATE_SARON
2002-06;0.937309;INTEREST_RATE_SARON
2002-07;0.703175;INTEREST_RATE_SARON
2002-08;0.603556;INTEREST_RATE_SARON
2002-09;0.50856;INTEREST_RATE_SARON
2002-10;0.517184;INTEREST_RATE_SARON
2002-11;0.506908;INTEREST_RATE_SARON
2002-12;0.362647;INTEREST_RATE_SARON
2003-01;0.486557;INTEREST_RATE_SARON
2003-02;0.562408;INTEREST_RATE_SARON
2003-03;0.177559;INTEREST_RATE_SARON
2003-04;0.094747;INTEREST_RATE_SARON
2003-05;0.13474;INTEREST_RATE_SARON
2003-06;0.14823;INTEREST_RATE_SARON
2003-07;0.111008;INTEREST_RATE_SARON
2003-08;0.053337;INTEREST_RATE_SARON
2003-09;0.145845;INTEREST_RATE_SARON
2003-10;0.113241;INTEREST_RATE_SARON
2003-11;0.117566;INTEREST_RATE_SARON
2003-12;0.126631;INTEREST_RATE_SARON
2004-01;0.098549;INTEREST_RATE_SARON
2004-02;0.100093;INTEREST_RATE_SARON
2004-03;0.110365;INTEREST_RATE_SARON
2004-04;0.108065;INTEREST_RATE_SARON
2004-05;0.112946;INTEREST_RATE_SARON
2004-06;0.360676;INTEREST_RATE_SARON
2004-07;0.1953;INTEREST_RATE_SARON
2004-08;0.173508;INTEREST_RATE_SARON
2004-09;0.53447;INTEREST_RATE_SARON
2004-10;0.63083;INTEREST_RATE_SARON
2004-11;0.503354;INTEREST_RATE_SARON
2004-12;0.497394;INTEREST_RATE_SARON
2005-01;0.654176;INTEREST_RATE_SARON
2005-02;0.67587;INTEREST_RATE_SARON
2005-03;0.809343;INTEREST_RATE_SARON
2005-04;0.646173;INTEREST_RATE_SARON
2005-05;0.665846;INTEREST_RATE_SARON
2005-06;0.631008;INTEREST_RATE_SARON
2005-07;0.678098;INTEREST_RATE_SARON
2005-08;0.677405;INTEREST_RATE_SARON
2005-09;0.674366;INTEREST_RATE_SARON
2005-10;0.673334;INTEREST_RATE_SARON
2005-11;0.68404;INTEREST_RATE_SARON
2005-12;0.609864;INTEREST_RATE_SARON
2006-01;0.828563;INTEREST_RATE_SARON
2006-02;0.895374;INTEREST_RATE_SARON
2006-03;1.05294;INTEREST_RATE_SARON
2006-04;1.187275;INTEREST_RATE_SARON
2006-05;1.11309;INTEREST_RATE_SARON
2006-06;1.242492;INTEREST_RATE_SARON
2006-07;1.345125;INTEREST_RATE_SARON
2006-08;1.370228;INTEREST_RATE_SARON
2006-09;1.682963;INTEREST_RATE_SARON
2006-10;1.627171;INTEREST_RATE_SARON
2006-11;1.768215;INTEREST_RATE_SARON
2006-12;1.897995;INTEREST_RATE_SARON
2007-01;1.905279;INTEREST_RATE_SARON
2007-02;1.835111;INTEREST_RATE_SARON
2007-03;1.979335;INTEREST_RATE_SARON
2007-04;2.066636;INTEREST_RATE_SARON
2007-05;2.165807;INTEREST_RATE_SARON
2007-06;2.418879;INTEREST_RATE_SARON
2007-07;2.490651;INTEREST_RATE_SARON
2007-08;2.3134;INTEREST_RATE_SARON
2007-09;2.209981;INTEREST_RATE_SARON
2007-10;2.118889;INTEREST_RATE_SARON
2007-11;2.115592;INTEREST_RATE_SARON
2007-12;1.873853;INTEREST_RATE_SARON
2008-01;2.241335;INTEREST_RATE_SARON
2008-02;2.240998;INTEREST_RATE_SARON
2008-03;1.894609;INTEREST_RATE_SARON
2008-04;1.850478;INTEREST_RATE_SARON
2008-05;1.796851;INTEREST_RATE_SARON
2008-06;1.860357;INTEREST_RATE_SARON
2008-07;1.955679;INTEREST_RATE_SARON
2008-08;1.933609;INTEREST_RATE_SARON
2008-09;1.666335;INTEREST_RATE_SARON
2008-10;0.522862;INTEREST_RATE_SARON
2008-11;0.03909;INTEREST_RATE_SARON
2008-12;0.019608;INTEREST_RATE_SARON
2009-01;0.080879;INTEREST_RATE_SARON
2009-02;0.035864;INTEREST_RATE_SARON
2009-03;0.031394;INTEREST_RATE_SARON
2009-04;0.03359;INTEREST_RATE_SARON
2009-05;0.034996;INTEREST_RATE_SARON
2009-06;0.020048;INTEREST_RATE_SARON
2009-07;0.016977;INTEREST_RATE_SARON
2009-08;0.018446;INTEREST_RATE_SARON
2009-09;0.024256;INTEREST_RATE_SARON
2009-10;0.045043;INTEREST_RATE_SARON
