year_month;Value;INDICATOR
2000-03;-2.391795602;M2_CHANGES
2000-04;-4.372499994;M2_CHANGES
2000-05;-4.950348303;M2_CHANGES
2000-06;-5.834428707;M2_CHANGES
2000-07;-7.187972513;M2_CHANGES
2000-08;-6.970408342;M2_CHANGES
2000-09;-7.6291668;M2_CHANGES
2000-10;-7.66651628;M2_CHANGES
2000-11;-6.768027143;M2_CHANGES
2000-12;-5.685196954;M2_CHANGES
2001-01;-6.032079651;M2_CHANGES
2001-02;-5.753896972;M2_CHANGES
2001-03;-5.838770796;M2_CHANGES
2001-04;-4.632003442;M2_CHANGES
2001-05;-3.363812747;M2_CHANGES
2001-06;-2.636797228;M2_CHANGES
2001-07;-2.173780593;M2_CHANGES
2001-08;-2.074871181;M2_CHANGES
2001-09;-0.160086377;M2_CHANGES
2001-10;1.067221326;M2_CHANGES
2001-11;1.92012309;M2_CHANGES
2001-12;4.624178171;M2_CHANGES
2002-01;3.090461364;M2_CHANGES
2002-02;5.029899857;M2_CHANGES
2002-03;7.579201648;M2_CHANGES
2002-04;6.796406786;M2_CHANGES
2002-05;6.04786871;M2_CHANGES
2002-06;8.540258654;M2_CHANGES
2002-07;10.4502387;M2_CHANGES
2002-08;11.60843207;M2_CHANGES
2002-09;11.48500699;M2_CHANGES
2002-10;11.16899723;M2_CHANGES
2002-11;10.82942186;M2_CHANGES
2002-12;10.55558783;M2_CHANGES
2003-01;11.89932924;M2_CHANGES
2003-02;12.13699901;M2_CHANGES
2003-03;17.6662099;M2_CHANGES
2003-04;20.25826513;M2_CHANGES
2003-05;20.40648845;M2_CHANGES
2003-06;19.08964993;M2_CHANGES
2003-07;18.62583817;M2_CHANGES
2003-08;18.98526252;M2_CHANGES
2003-09;18.69578058;M2_CHANGES
2003-10;19.58374327;M2_CHANGES
2003-11;18.5223065;M2_CHANGES
2003-12;15.10686177;M2_CHANGES
2004-01;16.61216213;M2_CHANGES
2004-02;16.14975377;M2_CHANGES
2004-03;8.488076062;M2_CHANGES
